ChanceAustin,@GovMikeHuckabee Yes and you support this right? https://t.co/9d0PzQ2KbN,,Sat Aug 04 09:02:55 +0000 2018
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life   @CNNnews18 @republic @NewsX @MirrorNow #SaveGanga,,Sat Aug 04 06:51:24 +0000 2018
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life  @ndtv  @CNNnews18 @republic @NewsX @MirrorNow,,Sat Aug 04 06:50:53 +0000 2018
Kwaqasi,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",Sat Aug 04 06:50:30 +0000 2018
vimalan08,Water shortages had caused cities to vanished for thousands of years but now India not only facing shortage but also contaminated and polluted water Media please take self interest to educate citizens India which we borrowed from future generation @TimesNow @ndtv @NewsX,,Sat Aug 04 06:50:11 +0000 2018
LeeRamBot,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Sat Aug 04 06:48:02 +0000 2018
UsmanComrade,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",Sat Aug 04 06:26:40 +0000 2018
AyeJLS,@KarlTowns Its sad cause I live in Michigan and I know for a fact that nobody is gonna do shit about flint. Recently other places around where I live have noticed contaminated water also. So if the past repeats itself my whole area will be without clean water. Yeet.,,Sat Aug 04 05:53:27 +0000 2018
kytgr,Veterans who drank contaminated water at Camp LeJeune to receive disability benefits https://t.co/zhp2AMV3KG,,Sat Aug 04 05:18:47 +0000 2018
DonStoppable,"Flint is one of many places across America with contaminated water, &amp; the state of theirs isn’t even the worst.. https://t.co/5RALDIgNEH",,Sat Aug 04 04:54:50 +0000 2018
Ontheflipside09,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Sat Aug 04 04:39:41 +0000 2018
SwaggyKee_,Now this is the president “TWEETING” not worrying about ppl in Flint drinking contaminated water but “TWEETING” crazyyy https://t.co/K15Shbid8f,,Sat Aug 04 04:38:33 +0000 2018
gujratsamachar,"ભુજ શહેરમાં પીવાના પાણીની સાથે નળમાંથી આવતું ગટરનું દુષિત પાણી 
- વોર્ડ નં.2માં ચોમાસા પહેલા જ વકરેલી સમસ્યા 
- 750થી વધુ પરિવારોના જાહેર આરોગ્ય સામે પ્રશ્નાર્થ
#gujaratsamachar #bhuj https://t.co/BA5bCp2ng7",,Sat Aug 04 04:15:10 +0000 2018
gujratsamachar,"ભુજ શહેરમાં પીવાના પાણીની સાથે નળમાંથી આવતું ગટરનું દુષિત પાણી 
- વોર્ડ નં.2માં ચોમાસા પહેલા જ વકરેલી સમસ્યા 
- 750થી વધુ પરિવારોના જાહેર આરોગ્ય સામે પ્રશ્નાર્થ
#gujaratsamachar #bhuj https://t.co/BA5bCoKMoz",,Sat Aug 04 04:14:58 +0000 2018
chrishbenge,#Contaminated Water On 126 Bases Linked To Cancer and Birth Defects https://t.co/URkl5Zuqb4,,Sat Aug 04 04:12:42 +0000 2018
musclebrain101,@Wendi_Irlbeck I stopped eating oranges/drinking orange juice because I thought I was allergic. It was actually the water that was contaminated. (didn't know it) I went almost 15 years without oranges.,,Sat Aug 04 04:02:28 +0000 2018
_GladyssL,RT @thirstproject: Millions of women and children around the world walk on average 3.75 miles everyday to collect contaminated water for th…,Millions of women and children around the world walk on average 3.75 miles everyday to collect contaminated water for themselves and their family. You can help end this by joining the fight for clean water 💧! Visit https://t.co/BiXcLLK9lK for more information! https://t.co/QE7oEh0Ubi,Sat Aug 04 04:00:10 +0000 2018
Molecules_R,Your Protein Powder Might Be Contaminated with Toxins - The Clean Label Project tested top protein powders for 130 different toxins—and the results aren't good. https://t.co/RQ9fZhjRXB #foodsecurity #foodchain #soil #water #chemicals #molecules  #residues #pollution #sugar,,Sat Aug 04 04:00:00 +0000 2018
MadiClarke18,"RT @ABC13News: ⚠️ BE SAFE: Flood waters and standing waters pose various risks, including infectious diseases, chemical hazards, and injuri…","⚠️ BE SAFE: Flood waters and standing waters pose various risks, including infectious diseases, chemical hazards, and injuries ⚠️
https://t.co/qXhYA0gyWG https://t.co/oqIZKUVQ3P",Sat Aug 04 03:56:30 +0000 2018
jiboyv,"A city growing w/o responsibility. Now Kolar will become e a water tanker mafia and be run by the same contractors and their relatives who claim to give clean water to Bangalore city residents. Groundwater, lakes polluted and animals will get contaminated n we drink their milk.",,Sat Aug 04 03:55:01 +0000 2018
Lynn_TopChoice,This Is Bullshit. Y'all Really Want Us To Drink Water &amp; Dassit? 😪 Everything Fucking Contaminated With Animal Cruelty. https://t.co/b7Q0K4m9JA,,Sat Aug 04 03:50:09 +0000 2018
Mahmoud_a6d,"RT @Betelgeuse100: All free people enjoying #InternationalBeerDay🍺🍻
࿐please spare a thought for #Gaza held under an illegal crippling Israe…","All free people enjoying #InternationalBeerDay🍺🍻
࿐please spare a thought for #Gaza held under an illegal crippling Israeli siege for over a decade, with 97% water contaminated with sewage/salt

❌Let no one thirst for good water❌

#FreePalestine
#قروب_فلسطيني
@RingwoodBrewery https://t.co/w50WYzg9xI",Sat Aug 04 03:47:01 +0000 2018
vertueeee,"RT @Betelgeuse100: All free people enjoying #InternationalBeerDay🍺🍻
࿐please spare a thought for #Gaza held under an illegal crippling Israe…","All free people enjoying #InternationalBeerDay🍺🍻
࿐please spare a thought for #Gaza held under an illegal crippling Israeli siege for over a decade, with 97% water contaminated with sewage/salt

❌Let no one thirst for good water❌

#FreePalestine
#قروب_فلسطيني
@RingwoodBrewery https://t.co/w50WYzg9xI",Sat Aug 04 03:33:33 +0000 2018
DannerEvans,"Be safe cleaning up after floods, water can be contaminated https://t.co/ryx8TJSWw2",,Sat Aug 04 03:27:44 +0000 2018
asg2112,Citizens Against Contaminated Water for Service Members and their Families - Sign the Petition! https://t.co/i5rHA64auQ via @Change,,Sat Aug 04 03:26:12 +0000 2018
chrobinson40,"RT @MichiganDems: ""They've allowed people to have their drinking water contaminated and then they rushed to send as many politicians as the…","""They've allowed people to have their drinking water contaminated and then they rushed to send as many politicians as they could to a press conference to act like they've done something about it.” @jimananich⁩  #GOPCorruption #MIGov  https://t.co/vi0h7oa3Ug",Sat Aug 04 03:13:50 +0000 2018
AndrewNemec2,"RT @JoshGottheimer: “Dumping potentially contaminated waste next to Vernon's lakes is a threat to community,""Gottheimer said.""The EPA needs…","“Dumping potentially contaminated waste next to Vernon's lakes is a threat to community,""Gottheimer said.""The EPA needs to step in to help our local officials combat this before anything leaches into our water supply or causes lasting evironmental damage.""
https://t.co/e67ovCPuPg",Sat Aug 04 03:10:43 +0000 2018
bassetnormand,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Sat Aug 04 03:02:07 +0000 2018
Zippertheslip,"@thetracilords Well Traci I been buying bottled water and beers 🍺 for a long time, hope they aren’t contaminated. As for you, 💕 always my Slavic cousin. Peace ✌️",,Sat Aug 04 02:58:52 +0000 2018
twtbawbags,"RT @Betelgeuse100: All free people enjoying #InternationalBeerDay🍺🍻
࿐please spare a thought for #Gaza held under an illegal crippling Israe…","All free people enjoying #InternationalBeerDay🍺🍻
࿐please spare a thought for #Gaza held under an illegal crippling Israeli siege for over a decade, with 97% water contaminated with sewage/salt

❌Let no one thirst for good water❌

#FreePalestine
#قروب_فلسطيني
@RingwoodBrewery https://t.co/w50WYzg9xI",Sat Aug 04 02:45:21 +0000 2018
AJTMH,RT @PreventTyphoid: The key to safe drinking water? It may be in your hands. New study in @AJTMH found that fecal contamination of stored d…,The key to safe drinking water? It may be in your hands. New study in @AJTMH found that fecal contamination of stored drinking water in #India often comes from contaminated hands – even if the source water is safe. #WASH #TakeOnTyphoid https://t.co/OjQ9nm5u2y,Sat Aug 04 02:40:01 +0000 2018
RVAStreetMedia,RT @RVAStreetMedia: @mommamia1217 @myserenity69 @KikiAdine @Mookyluv2 @GOVTWINE @gordy_shanks @GabsNGripes @Gallaecian @GatoDeBuda @jendale…,@mommamia1217 @myserenity69 @KikiAdine @Mookyluv2 @GOVTWINE @gordy_shanks @GabsNGripes @Gallaecian @GatoDeBuda @jendalessio @quaker4change @QHancroft @Sky_Lee_1 @FancyNoMore @MoorSiriusLee @itsreallyalexb @CindisPlace @kimmyifuplease @SansMerci86 @derkiletian @ShelbyKStewart @wint_young @dew231234 @DeepStateShu @DeadBunnyFrank @MPFIED @gayleasher1 @AviFlyGirl @sunnyskol @mrdolcethecat @BonniBK @ArtistsPo @ellievan65 @CatSkoor @RemusJLupin2017 @AMHotFlash @MissNyetTrump @ciaomiabella17 @tngsmama @britin17k @pamcho3 @aprilbaxter @tart_manchester @YarosisNancy @standofelders @princessfemme @MissGFYCuffy @CuntyLiberal @CunningSq16 Snyder dismissed from Flint contaminated water class-action lawsuit. #SaveFlintChallenge #FlintWaterCrisis https://t.co/fRQ1s6GHKw,Sat Aug 04 02:30:38 +0000 2018
cvmiloo,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Sat Aug 04 02:13:36 +0000 2018
fukumeltdowns,"RT @jonmitchell_jp: Japan: Following 3.11 Fukushima meltdowns, US military dumped 120,000+ liters of radiation-contaminated waste water int…","Japan: Following 3.11 Fukushima meltdowns, US military dumped 120,000+ liters of radiation-contaminated waste water into sewers at Atsugi and Misawa bases - with Japanese govt approval. 
#日米地位協定と基地公害 https://t.co/q85XC7KvPK",Sat Aug 04 02:01:56 +0000 2018
pankaj161275,"@ArvindKejriwal. Sir now कोर्ट has given you power &amp; djb is under your control still our children suffer from water borne diseases. For a month we are getting contaminated or no water &amp; bunking   
school.. What our children will do if they are not getting basic nessity.",,Sat Aug 04 01:59:35 +0000 2018
Themebar,"* Be safe cleaning up after floods, water can be contaminated  WSET Full coverage https://t.co/ohwgg9AS2B https://t.co/MSER3PI4ZE",,Sat Aug 04 01:57:04 +0000 2018
JackJellies,"RT @WMUOVPR: Dr. Gellert Mezei, with support of @NSF grant, will continue his work developing novel method for extracting harmful anions li…","Dr. Gellert Mezei, with support of @NSF grant, will continue his work developing novel method for extracting harmful anions like sulfates, nitrates, phosphates and chlorides from contaminated water. Learn more: https://t.co/rkZU0682N6",Sat Aug 04 01:56:18 +0000 2018
pankaj161275,@Ceo_djb Due to the shortage of water /supply of contaminated water our children are suffering from water borne diseases and absent from school. WE HAVE ALWAYS PAID WATER BILL. इस THIS DEVOLPMENT. YOU ONLY पास COMPLAINT FROM ONE DESK TO ANOTHER.,,Sat Aug 04 01:55:08 +0000 2018
pankaj161275,@Ceo_djb sir this is tenth time we are telling you that previously the supply of pipeline water in shyam vihar phase 1 Najafgarh A Block was excellent but with laying of new pipeline the water supply is erratic &amp; contaminated. No action from your side.,,Sat Aug 04 01:52:06 +0000 2018
yamatho2,RT @WokeOnWater: Cantwell Seeks $70 Million to Help Areas with Contaminated #Water https://t.co/i6PBoVoonl #WokeOnWater,Cantwell Seeks $70 Million to Help Areas with Contaminated #Water https://t.co/i6PBoVoonl #WokeOnWater,Sat Aug 04 01:44:35 +0000 2018
Rusby66,Citizens Against Contaminated Water for Service Members and their Families - Sign the Petition! https://t.co/9GLfaGUg8L via @Change,,Sat Aug 04 01:43:21 +0000 2018
hugo_indalecio,Research confirms fecal bacteria contaminated surface water after Hurricane Harvey https://t.co/t0PbANR8xd via @physorg_com,,Sat Aug 04 01:38:22 +0000 2018
WokeOnWater,Cantwell Seeks $70 Million to Help Areas with Contaminated #Water https://t.co/i6PBoVoonl #WokeOnWater,,Sat Aug 04 01:38:01 +0000 2018
OKhiya3,"@GuilfoyleJJ Oh, and I just learned that the VA hospital in Washington D.C. was so underfunded that they were forced to use rusty operating equipment and contaminated water. That’s how much we value our veterans- BOTH parties!",,Sat Aug 04 01:29:21 +0000 2018
twigsally,RT @krileayn: @afriforum Kannemeyer fails his duties by allowing the Vaal River to be contaminated. AfriForum has poured water purifiers in…,@afriforum Kannemeyer fails his duties by allowing the Vaal River to be contaminated. AfriForum has poured water purifiers into the river that can purge up to 12 megaliters of water. This is the first phase of project #VrotVaal #RedOnsVaal #SkoonSA.,Sat Aug 04 01:28:12 +0000 2018
AnamAdepar,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",Sat Aug 04 01:25:00 +0000 2018
peter_jeno,@realDonaldTrump Flint still has contaminated water. Can you fix that?,,Sat Aug 04 01:19:18 +0000 2018
ArtMarius2,"2/
Beer was fundamental to preserve the human species and civilization emerge.

 In producing with boiling water, the ancient prefers to drink simple water that most of the time was contaminated and over time they were found important food properties such as vitamin B;",,Sat Aug 04 01:08:15 +0000 2018
katowen97,@derinhwillcox @taylorlovesit U already know drunk me will drink contaminated water SO HEP A SHOTS TO NOT END UP IN THE HOSPITAL😂,,Sat Aug 04 01:07:09 +0000 2018
PullThroughPerr,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Sat Aug 04 01:03:32 +0000 2018
sadee_vey,Nice I guess the water I’ve been drinking and bathed in today is contaminated 😂 but of course only in the island 😂💀,,Sat Aug 04 00:54:31 +0000 2018
TaraLou685,Veterans who drank contaminated water at Camp LeJeune to receive disability benefits https://t.co/aUkE4tXJov,,Sat Aug 04 00:54:13 +0000 2018
doritmi,RT @VeritasEver: @toppediatrician @weaponizedword1 @doritmi @MilenarioxX @itsmepanda1 @xXMilenarioXx @chrisvcsefalvay @ghoppe @DavidLMayhew…,"@toppediatrician @weaponizedword1 @doritmi @MilenarioxX @itsmepanda1 @xXMilenarioXx @chrisvcsefalvay @ghoppe @DavidLMayhew @lifebiomedguru @viva__lala @BlueLionBlog @EmmaGPaley @GeoffSchuler @WendyOrent @jkellyca @MilanovNina @djt10 @mcfunny @Vbalance03 @mmelgar09 @RightWingBlack2 @DansMonkeyShack @Gardeniagal4 @t3tragrammat0n @thereal_truther @LynnleeMavakay @fiski70 @maunablissed @Just4TheCause @janem1276 @Apotheosis1974 @Bibimunoz67 @Whats_The_Harm @ProAntiVaxxer @sarah_sxlxp @kenjaques @babyname_maven @rugbyrhino16 @Somemyrrh @PharmaNemesis @Joshua1_5 @andre__levy @VaccineUK @LiamKav @quietlynowshhh @KitemanArgues @Playerking95 @skepticalraptor @Melissa232220 I think you're wildly out of touch with what happens in countries other than the US, Dr H. Currently the Trump administration is desperately unwinding environmental and public health legislation as above, and the Flint water supply is still contaminated. Do I need to go on??",Sat Aug 04 00:46:37 +0000 2018
mus_sis,"RT @Alinaamtrust1: Here is a shallow tube well, where Rohingya refugee families live in the shelter village. This water is desperately need…","Here is a shallow tube well, where Rohingya refugee families live in the shelter village. This water is desperately needed during the monsoon season where these villages are flooded with contaminated and unsafe water. Help today! #servinghumanity https://t.co/EoA3KiRuJt",Sat Aug 04 00:37:50 +0000 2018
jameel_amina,"RT @Alinaamtrust1: Here is a shallow tube well, where Rohingya refugee families live in the shelter village. This water is desperately need…","Here is a shallow tube well, where Rohingya refugee families live in the shelter village. This water is desperately needed during the monsoon season where these villages are flooded with contaminated and unsafe water. Help today! #servinghumanity https://t.co/EoA3KiRuJt",Sat Aug 04 00:37:34 +0000 2018
AzizaMal3k,"RT @Alinaamtrust1: Here is a shallow tube well, where Rohingya refugee families live in the shelter village. This water is desperately need…","Here is a shallow tube well, where Rohingya refugee families live in the shelter village. This water is desperately needed during the monsoon season where these villages are flooded with contaminated and unsafe water. Help today! #servinghumanity https://t.co/EoA3KiRuJt",Sat Aug 04 00:37:19 +0000 2018
VeritasEver,"@toppediatrician @weaponizedword1 @doritmi @MilenarioxX @itsmepanda1 @xXMilenarioXx @chrisvcsefalvay @ghoppe @DavidLMayhew @lifebiomedguru @viva__lala @BlueLionBlog @EmmaGPaley @GeoffSchuler @WendyOrent @jkellyca @MilanovNina @djt10 @mcfunny @Vbalance03 @mmelgar09 @RightWingBlack2 @DansMonkeyShack @Gardeniagal4 @t3tragrammat0n @thereal_truther @LynnleeMavakay @fiski70 @maunablissed @Just4TheCause @janem1276 @Apotheosis1974 @Bibimunoz67 @Whats_The_Harm @ProAntiVaxxer @sarah_sxlxp @kenjaques @babyname_maven @rugbyrhino16 @Somemyrrh @PharmaNemesis @Joshua1_5 @andre__levy @VaccineUK @LiamKav @quietlynowshhh @KitemanArgues @Playerking95 @skepticalraptor @Melissa232220 I think you're wildly out of touch with what happens in countries other than the US, Dr H. Currently the Trump administration is desperately unwinding environmental and public health legislation as above, and the Flint water supply is still contaminated. Do I need to go on??",,Sat Aug 04 00:31:30 +0000 2018
MsDami11,RT @RVAStreetMedia: @mommamia1217 @myserenity69 @KikiAdine @Mookyluv2 @GOVTWINE @gordy_shanks @GabsNGripes @Gallaecian @GatoDeBuda @jendale…,@mommamia1217 @myserenity69 @KikiAdine @Mookyluv2 @GOVTWINE @gordy_shanks @GabsNGripes @Gallaecian @GatoDeBuda @jendalessio @quaker4change @QHancroft @Sky_Lee_1 @FancyNoMore @MoorSiriusLee @itsreallyalexb @CindisPlace @kimmyifuplease @SansMerci86 @derkiletian @ShelbyKStewart @wint_young @dew231234 @DeepStateShu @DeadBunnyFrank @MPFIED @gayleasher1 @AviFlyGirl @sunnyskol @mrdolcethecat @BonniBK @ArtistsPo @ellievan65 @CatSkoor @RemusJLupin2017 @AMHotFlash @MissNyetTrump @ciaomiabella17 @tngsmama @britin17k @pamcho3 @aprilbaxter @tart_manchester @YarosisNancy @standofelders @princessfemme @MissGFYCuffy @CuntyLiberal @CunningSq16 Snyder dismissed from Flint contaminated water class-action lawsuit. #SaveFlintChallenge #FlintWaterCrisis https://t.co/fRQ1s6GHKw,Sat Aug 04 00:30:46 +0000 2018
medwater1,"Runashitu, Ecuador – When contaminated water makes indigenous Kichwa sick in the Amazon jungle, it hits vulnerable young children the hardest.  

Standing outside her bare wood plank home on stilts in a rural area of... https://t.co/NkJa67jSRI",,Sat Aug 04 00:30:07 +0000 2018
frozenpondering,"@JohnBoozman @SenateDems has contaminated drinking water while EPA regulations to protect our air, food,&amp; water nationally are revoked. You violate your Oath of Office HOURLY... so, tell us, John, just how in the hell do you think you've been ""serving Arkansans""? 2022 can't get here soon enough! #arpx",,Sat Aug 04 00:18:12 +0000 2018
InverseKinemati,"You've probably seen those pictures of billionaires' mansions with whole indoor gardens, private forests and so on. Meanwhile working class people get to live in virtual waste dumps, concrete deserts, next to contaminated water, etc. Environmental issues are class issues.",,Sat Aug 04 00:17:43 +0000 2018
enozell,RT @WendyENThomas: I'm running for State Rep in @Merrimack #NH to fight for water that is clear of #PFOA and #PFAS contamination and to hol…,I'm running for State Rep in @Merrimack #NH to fight for water that is clear of #PFOA and #PFAS contamination and to hold those who contaminated our water accountable. #nhpolitics,Sat Aug 04 00:15:50 +0000 2018
okvb,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Fri Aug 03 23:58:46 +0000 2018
Ryan_E_Burton,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 23:41:47 +0000 2018
AshataDahal,RT @PreventTyphoid: The key to safe drinking water? It may be in your hands. New study in @AJTMH found that fecal contamination of stored d…,The key to safe drinking water? It may be in your hands. New study in @AJTMH found that fecal contamination of stored drinking water in #India often comes from contaminated hands – even if the source water is safe. #WASH #TakeOnTyphoid https://t.co/OjQ9nm5u2y,Fri Aug 03 23:37:47 +0000 2018
oliver_ogola,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 23:36:48 +0000 2018
KP_4_lyfe,"RT @_plantmom: Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, perio…","Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, period, but nbd or anything https://t.co/t0efiRjkOz",Fri Aug 03 23:35:12 +0000 2018
A_E_Black,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 23:30:39 +0000 2018
phosphoria31,"RT @leadfreeH2OinDC: DC Water please take the time to explain that this product is contaminated with lead, cadmium, arsenic, plastic, glass…","DC Water please take the time to explain that this product is contaminated with lead, cadmium, arsenic, plastic, glass, pathogens and other contaminants and that biosolids are not allowed under the USDA Organic farming rules. https://t.co/6c56zuPjvo, https://t.co/gUvZSeM11v https://t.co/RuL9LjlPbf",Fri Aug 03 23:22:24 +0000 2018
ALeeMarieGG,"RT @_plantmom: Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, perio…","Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, period, but nbd or anything https://t.co/t0efiRjkOz",Fri Aug 03 23:18:06 +0000 2018
IV_sUpaCoolLafS,"RT @_plantmom: Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, perio…","Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, period, but nbd or anything https://t.co/t0efiRjkOz",Fri Aug 03 23:17:26 +0000 2018
hildasmood,"RT @_plantmom: Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, perio…","Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, period, but nbd or anything https://t.co/t0efiRjkOz",Fri Aug 03 23:16:50 +0000 2018
cosmoosan,"RT @_plantmom: Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, perio…","Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, period, but nbd or anything https://t.co/t0efiRjkOz",Fri Aug 03 23:16:25 +0000 2018
